icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
3c6658,D-AIRX,AIRBUS,Airbus,A321 131,A321,887,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a52147,N43FE,BOMBARDIER,Bombardier Inc,BD-100-1A10,CL30,20456,,L2J,,,,,Federal Express Leasing Corp,,,2023-06-30,,2014-01-01,,,HONEYWELL AS907-1-1A,false,false,false,,Small (15500 to 75000 lbs)
adde95,N993JE,,,A321-231(SL),,,,,Jetblue Airways,JETBLUE,JBU,B6,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
0a0083,7T-VUT,ATR,Avions De Transport Regional,ATR 72 600,AT76,1223,,L2T,Air Algerie,AIR ALGERIE,DAH,AH,Air Algerie,F-WWEV,2014-12-22,,,2010-01-01,,,,false,false,false,,No ADS-B Emitter Category Information
7810a1,B-1573,BOEING,Boeing,737NG 800/W,B738,61695,,L2J,,LIANHANG,CUA,,China United Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4240d0,VP-BHV,AIRBUS,Airbus,A319 114,A319,2474,,L2J,,SIBERIAN AIRLINES,SBI,,S7 Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a9f655,N741AV,AIRBUS,Airbus,A319-115,A319,6617,,L2J,, S.A.,AVA,,Wells Fargo Trust Co Na Trustee,,,2021-08-31,,2015-01-01,,,CFM INTL CFM56-5B7/3,false,false,false,,No ADS-B Emitter Category Information
4cab74,EI-FZO,BOEING,The Boeing Company,BOEING 737-800,B738,44787,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2017-04-27,,,2017-01-01,,,2x CFM CFM56-7B26E,false,false,false,,No ADS-B Emitter Category Information
06a048,A7-ACJ,AIRBUS,Airbus,A330 202,A332,760,,L2J,,QATARI,QTR,,Qatar Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a234bc,N241LM,,Cirrus Design Corp,SR22T,,1124,,,,,,,Entropy Elevation Llc,,,2022-01-31,,2015-01-01,,,CONT MOTOR IO-550 SERIES,false,false,false,,Light (< 15500 lbs)
79a071,B-6059,AIRBUS,Airbus,A330 243,A332,664,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa8a8e,N779AZ,,Gulfstream Aerospace,GIV-X (G450),G450,4089,,,,,,,Pittco Aviation Llc,,,2023-01-31,,2007-01-01,,,ROLLS-ROYC TAY 611-8C,false,false,false,,
345299,EC-MMX,BOEING,Boeing,787 8,B788,36415,,L2J,,EUROPA,AEA,,Air Europa,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a5ca58,N472UP,BOEING,Boeing,757-24APF,B752,28843,,L2J,United Parcel Service,UPS,UPS,5X,United Parcel Service Co,,,2024-02-29,,1998-01-01,,,ROLLS-ROYC RB.211 SERIES,false,false,false,,High Vortex Large (aircraft such as B-757)
a8021b,N615JB,AIRBUS,Airbus,A320-232,A320,2461,,L2J,,JETBLUE,JBU,,Jetblue Airways,,,2023-08-31,,2005-01-01,,,IAE V2500SERIES,false,false,false,,No ADS-B Emitter Category Information
a700a4,N550NN,CANADAIR,Bombardier Inc,CL-600-2D24,CRJ9,15323,,L2J,American Airlines,AMERICAN,AAL,AA,American Airlines Inc,,,2023-06-30,,2014-01-01,,,GE CF34-8C5,false,false,false,,Large (75000 to 300000 lbs)
a1a66d,N205UW,BOEING,Boeing,757-23N,B752,30887,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2021-12-31,,2000-01-01,,,ROLLS-ROYC RB211-535E437,false,false,false,,No ADS-B Emitter Category Information
a741fe,N567M,,Beech,F33A,,CE-854,,,,,,,Shower Brenden C,,,2022-09-30,,1979-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
3c674e,D-AIZN,AIRBUS,Airbus,A320 214,A320,5425,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ba9e7,TC-JOG,AIRBUS,Airbus,A330 303,A333,1620,,L2J,,TURKAIR,THY,,Turkish Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c6663,D-AISC,AIRBUS,Airbus,A321 231,A321,1161,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ca660,EI-FPF,CANADAIR,Bombardier Inc,CL-600-2D24,CRJ9,15403,,L2J,,CITY-IRELAND,BCY,,Cityjet Designated Activity Company,,2016-04-27,,,2016-01-01,,,2x GENERAL ELECTRIC COMPANY CF34-8C5,false,false,false,,Large (75000 to 300000 lbs)
7c7bd2,VH-YQS,BOEING,Boeing,717 2BL,B712,55178,,L2J,,,,,Qantas Link,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a0b9aa,N146HA,,Eclipse Aerospace Inc,EA500,EA55,550-0278,,,,,,,Destination Sky Llc,,,2024-04-30,,2014-01-01,,,P&W CANADA PW610F-A,false,false,false,,Light (< 15500 lbs)
7c6a5e,VH-VAO,NUSANTARA,Bell,412 EP,B412,36507,,H2T,,,,,Babcock Mcs Australasia,,,,,,,,,false,false,false,,Rotorcraft
3443d5,EC-LVU,AIRBUS,Airbus,A320 214SL,A320,5616,,L2J,,VUELING,VLG,,Vueling Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a13e9d,N18CZ,,Bombardier Inc,BD-700-1A10,GL6T,9751,,,,,,,Bank Of Utah Trustee,,,2023-07-31,,2016-01-01,,,ROLLS DEUT BR700-710A220,false,false,false,,Large (75000 to 300000 lbs)
7804c8,B-6481,AIRBUS,Airbus,A319 115SL,A319,6716,,L2J,,,,,Tibet Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
478378,LN-RKF,AIRBUS,Airbus,A340 313X,A343,413,,L4J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
ad2e57,N9488G,,Cessna,172N,,17273629,,,,,,,Tap Solutions Inc,,,2022-01-31,,1979-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,
78046d,B-6112,AIRBUS,Airbus,A330 343E,A333,937,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c6702,D-AIXB,AIRBUS,Airbus,A350 941,A359,80,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
4d216d,9H-NOA,BOEING,Boeing,Boeing 737 33A,B733,27457,,L2J,,,BBG,,Bluebird Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c6dce,D-AKNN,AIRBUS,Airbus,A319 112,A319,1136,,L2J,,GERMAN WINGS,GWI,,Germanwings,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac1451,N878CS,LEARJET,Learjet Inc,60,LJ60,263,,L2J,,,,,Blackfriars Aviation Llc,,,2023-12-31,,2002-01-01,,,P&W CANADA 305 SERIES,false,false,false,,Small (15500 to 75000 lbs)
4ca244,EI-DCN,BOEING,The Boeing Company,BOEING 737-8AS,B738,33808,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2004-11-01,,,2004-01-01,,,2x CFM CFM56-7B26,false,false,false,,No ADS-B Emitter Category Information
3444cb,EC-MAO,AIRBUS,Airbus,Airbus A320 214SL,A320,6081,,L2J,,VUELING,VLG,,Vueling Airlines,,,,,,,,,false,false,false,,
a373c0,N321TR,,Beech,F90,,LA-48,,,,,,,Rose And Berger Llc,,,2024-02-29,,,,,,false,false,false,,Light (< 15500 lbs)
e03086,LV-CBF,BOEING,Boeing,737NG 76N/W,B737,32696,,L2J,,ARGENTINA,ARG,,Aerolineas Argentinas,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
78115f,B-1429,BOEING,Boeing,Boeing 777-300(ER),B77W,63356,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
406b13,G-TUIF,BOEING,Boeing Company,BOEING 787-8 Dreamliner,B788,36428,,L2J,,TOMSON,TOM,,Thomson Airways,,2014-07-15,,,2014-01-01,,,2 x GENERAL ELECTRIC CO GEnx-1B64/P2G01<br>,false,false,false,,
781074,B-8732,AIRBUS,Airbus,A320 214SL,A320,6149,,L2J,Lucky Air,LUCKY AIR,LKE,,Lucky Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a2e571,N286N,CESSNA,Cessna,525B,C25B,525B0190,,L2J,,,,,Nicholas Services Llc,,,2023-08-31,,2007-01-01,,,WILLIAMS FJ44-3A,false,false,false,,Light (< 15500 lbs)
3c6619,D-AIPY,AIRBUS,Airbus,A320 211,A320,161,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
c04aad,C-GCHG,PANHA,Bombardier Inc.,CL-600-2B16 (Series 604) (Bombardier),B06,6126,,H1T,Bombardier,BOMBARDIER,BFO,,Bombardier Inc.,,2018-10-04,,,,,,,false,false,false,,
500116,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
780bf9,B-5912,AIRBUS,Airbus,A330 343E,A333,1493,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780aed,B-5766,BOEING,Boeing,737NG 81B/W,B738,38951,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
00b0ee,ZS-SND,AIRBUS,Airbus,A340 642,A346,531,,L4J,,SPRINGBOK,SAA,,South African Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aae316,N800NN,BOEING,Boeing,737-823,B738,29564,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2023-12-31,,2009-01-01,,,CFM INTL CFM56-7B24/3,false,false,false,,No ADS-B Emitter Category Information
4d2121,9H-GFI,,Bombardier,Global 6000,GL6T,9701,,,,,,,Comlux Malta Ltd,,,,,,,,,false,false,false,,
51009a,EW-455PA,BOEING,Boeing,737NG 8ZM/W,B738,61421,,L2J,,BELARUS AVIA,BRU,,Belavia,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
78116a,B-1446,BOEING,Boeing,737NG 800/W,B738,42974,,L2J,,Hebei Air,HBH,,Hebei Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8622d0,JA627A,BOEING,Boeing,767 381ER/W,B763,40898,,L2J,,ALL NIPPON,ANA,,All Nippon Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
510043,EW-254PA,BOEING,Boeing,737 3Q8,B733,26294,,L2J,,BELARUS AVIA,BRU,,Belavia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
78092f,B-6899,AIRBUS,Airbus,A321 231,A321,5233,,L2J,,SI CHUAN,CSC,,Sichuan Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
4ca869,EI-FWF,SUKHOI,Sukhoi,Superjet 100 95 B,SU95,95118,,L2J,,CITY-IRELAND,BCY,,Brussels Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a3a9a3,N335NW,AIRBUS,Airbus Industrie,A320-212,A320,340,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2022-06-30,,1992-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,Large (75000 to 300000 lbs)
a23443,N241FR,,Textron Aviation Inc,T240,,T24002140,,,,,,,Wca Leasing Llc,,,2023-10-31,,2017-01-01,,,CONT MOTOR TSIO-550 SER,false,false,false,,Light (< 15500 lbs)
76d252,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a9b4a4,N724YX,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000502,,L2J,,BRICKYARD,RPA,,Republic Airways Inc,,,2021-08-31,,2015-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
4249fd,VQ-BQX,AIRBUS,Airbus,A330 343E,A333,1232,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
800beb,VT-IDZ,AIRBUS,Airbus,A320 232,A320,3264,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,
4ca621,EI-DWT,BOEING,The Boeing Company,BOEING 737-8AS,B738,33626,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2008-01-18,,,2008-01-01,,,2x CFM CFM56-7B26,false,false,false,,No ADS-B Emitter Category Information
7c6ce1,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
a022ee,N108FE,BOEING,Boeing,767-3S2F,B763,44378,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2023-11-30,,2014-01-01,,,GE CF6-80C2B6F,false,false,false,,No ADS-B Emitter Category Information
880016,HS-TJA,BOEING,Boeing,777 2D7,B772,27726,,L2J,,THAI,THA,,Thai Airways International,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
495283,CS-TTC,AIRBUS,Airbus,A319 111,A319,763,,L2J,,AIR PORTUGAL,TAP,,Tap Portugal,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
406ecd,G-VMAP,BOEING,Boeing Company,BOEING 787-9 Dreamliner,B789,38047,,L2J,Virgin Atlantic Airways,VIRGIN,VIR,VS,Virgin Atlantic Airways,,2016-05-20,,,2015-01-01,,,2 x ROLLS-ROYCE Trent 1000-K2<br>,false,false,false,,Heavy (> 300000 lbs)
a3e08d,N349UP,BOEING,Boeing,767-34AF,B763,37947,,L2J,United Parcel Service,UPS,UPS,5X,C C & E I Llc,,,2024-04-30,,2012-01-01,,,GE CF6-80C2B6F,false,false,false,,Heavy (> 300000 lbs)
780aa1,B-LCI,AIRBUS,Airbus,A320 232,A320,4445,,L2J,,HONGKONG SHUTTLE,HKE,,Hong Kong Express Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
3c64c5,D-AIFE,AIRBUS,Airbus,A340 313X,A343,434,,L4J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a1180c,N17NM,SWEARINGEN,Beech,E-90,BE9L,LW-237,,L2T,,,,,Sevenbar Aviation Llc,,,2022-05-31,,1977-01-01,,,U/A CANADA PT6A-27-28,false,false,false,,Light (< 15500 lbs)
78093a,B-6432,AIRBUS,Airbus,A319 115,A319,5412,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4d00d9,LX-LQI,DE HAVILLAND CANADA,Bombardier,DHC-8 402 NG,DH8D,4534,,L2T,,LUXAIR,LGL,,Luxair,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
a646fb,N503VL,AIRBUS,Airbus,A319-132,A319,3491,,L2J,,VOLARIS,VOI,,Umb Bank Na Trustee,,,2022-05-31,,2008-01-01,,,IAE V2524-A5,false,false,false,,No ADS-B Emitter Category Information
758521,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7807db,B-6826,AIRBUS,Airbus,A320 232,A320,4836,,L2J,,CHINA SOUTHERN,CSN,,China Southern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
7806f0,B-6742,AIRBUS,Airbus,A321 232,A321,4719,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a195f8,N201CM,,Mooney,M20J,,24-0412,,,,,,,Rejto Peter A,,,2023-07-31,,1977-01-01,,,LYCOMING I0360 SER,false,false,false,,Light (< 15500 lbs)
adb476,N982VJ,AIRBUS,Airbus,A321-231,A321,5374,,L2J,,AMERICAN,AAL,,American Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aba14d,N849AE,,Embraer,EMB-135KL,,145716,,,American Airlines,AMERICAN,AAL,AA,American Airlines Inc,,,2023-10-31,,2003-01-01,,,ROLLS-ROYC AE3007 SER,false,false,false,,Small (15500 to 75000 lbs)
a448d3,N37504,,Boeing,737-9,,43435,,,United Airlines,UNITED,UAL,UA,United Airlines Inc,,,2021-05-31,,2018-01-01,,,CFM INTL LEAP-1B28,false,false,false,,Large (75000 to 300000 lbs)
424354,VP-BOB,BOEING,Boeing,737NG 800/W,B738,41236,,L2J,,PULKOVO,SDM,,Rossiya Russian Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a0b85c,N1455T,DE HAVILLAND CANADA,Dehavilland,DHC 2 MK III,DH2T,1647TB26,,L1T,,KENMORE,KEN,,Kenmore Air Harbor Llc,,,2022-09-30,,,,,P&W CANADA PT6A-34,false,false,false,,
a553db,N442UP,BOEING,Boeing,757-24APF,B752,27387,,L2J,United Parcel Service,UPS,UPS,5X,United Parcel Service Co,,,2021-11-30,,1994-01-01,,,ROLLS-ROYC RB.211 SERIES,false,false,false,,High Vortex Large (aircraft such as B-757)
800689,VT-IER,AIRBUS,Airbus,A320 232,A320,5076,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ada908,N98CL,PANHA,Bell,206L Long Ranger IV,B06,52308,,H1T,,,,,Private,,,,,,,,,false,false,false,,Rotorcraft
3c6666,D-AISF,AIRBUS,Airbus,A321 231,A321,1260,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
010117,SU-BQC,AIRBUS,Airbus,A320 232,A320,3219,,L2J,,NILEBIRD,NIA,,Nile Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ab148e,N813AN,BOEING,Boeing,787-8,B788,40631,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2022-02-28,,2016-01-01,,,GE GENX-1B70/P2,false,false,false,,
a2a3b5,N26966,BOEING,Boeing,787-9,B789,60143,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-06-30,,2016-01-01,,,GE GENX-1B74/75/,false,false,false,,Heavy (> 300000 lbs)
a581f5,N454LC,LEARJET,Learjet Inc,45,LJ45,419,,L2J,,,,,Lamar Air Llc,,,2023-01-31,,2011-01-01,,,HONEYWELL TFE731-20BR,false,false,false,,Small (15500 to 75000 lbs)
a63b3a,N500PE,PIPER,Piper,PA46-500TP,P46T,4697600,,L1T,,,,,Builders Automation Machinery Co Llc,,,2022-12-31,,2015-01-01,,,P&W CANADA PT6A-42A,false,false,false,,Light (< 15500 lbs)
a48379,N390HA,AIRBUS,Airbus,A330-243,A332,1389,,L2J,,HAWAIIAN,HAL,,Wilmington Trust Co Trustee,,,2022-02-28,,2013-01-01,,,AMA/EXPR UNKNOWN ENG,false,false,false,,No ADS-B Emitter Category Information
89405c,A9C-AE,AIRBUS,Airbus,A320 214,A320,4146,,L2J,,GULF AIR,GFA,,Gulf Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4ca37e,EI-FIJ,BOEING,The Boeing Company,BOEING 737-8AS,B738,44699,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2015-05-01,,,2015-01-01,,,2x CFM CFM56-7B26E,false,false,false,,No ADS-B Emitter Category Information
e80459,CC-BGM,BOEING,Boeing,787 9,B789,38771,,L2J,,LAN,LAN,,Latam Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
ad7df5,N969DW,,Cirrus Design Corp,SR22T,,0935,,,,,,,De Werd Capital Partners Llc,,,2024-01-31,,2014-01-01,,,CONT MOTOR TSIO-550-K,false,false,false,,Light (< 15500 lbs)
a657bf,N508AY,AIRBUS,Airbus,A321-231,A321,3740,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2021-12-31,,2008-01-01,,,IAE V2533-A5,false,false,false,,Large (75000 to 300000 lbs)
a5df46,N478ER,REIMS,Cessna,172R,C172,17280623,,L1P,,,,,Hillsboro Aero Academy Llc,,,2023-12-31,,1998-01-01,,,LYCOMING I0360 SER A&C,false,false,false,,Light (< 15500 lbs)
405e24,G-FDZS,BOEING,Boeing Company,BOEING 737-8K5,B738,35147,,L2J,,TOMSON,TOM,,Thomson Airways,,2009-04-14,,,2009-01-01,,,2 x CFM CFM56-7B27/3<br>,false,false,false,,No ADS-B Emitter Category Information
4b17f8,HB-JCA,BOMBARDIER,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,55010,,L2J,Swiss International Air Lines,SWISS,SWR,LX,Lhami Leasing Limited,,2017-05-26,,,2017-01-01,,,PRATT & WHITNEY PW1524G-3,false,false,false,,Large (75000 to 300000 lbs)
a8424c,N631JS,,Embraer S A,EMB-505,,50500089,,,,,,,Phenom 300 Llc,,,2024-01-31,,,,,,false,false,false,,No ADS-B Emitter Category Information
7c6d9f,VH-VXT,BOEING,Boeing,737NG 838/W,B738,33760,,L2J,,QANTAS,QFA,,Qantas,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
43e84e,M-MTOO,BOMBARDIER,Bombardier,Challenger 300,CL30,20050,,L2J,,,,,Nadremal Air Holding Ltd,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
800b67,VT-JUI,BOMBARDIER,Bombardier,Challenger 350,CL35,20591,,L2J,,,,,Jupiter Aviation Services P/l,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
e48175,PR-GGF,BOEING,Boeing,737NG 8EH/W,B738,35826,,L2J,,GOL TRANSPORTE,GLO,,Gol Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac0cf2,N876DG,BOMBARDIER,Bombardier Inc,BD-100-1A10,CL30,20222,,L2J,,,,,Klh Partners Llc,,,2023-01-31,,2008-01-01,,,HONEYWELL AS907-1-1A,false,false,false,,Small (15500 to 75000 lbs)
3c66e2,D-AIWB,AIRBUS,Airbus,A320 214SL,A320,7699,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
7c1b37,VH-FNT,FOKKER,Fokker Aircraft B.v.,F28 MK 0100,F100,11461,,L2J,,OZWEST,OZW,,Virgin Australia Regional Airlines Pty Ltd,,,,,1995-01-01,,,2x Rolls Royce Ltd TAY 650-15,false,false,false,,No ADS-B Emitter Category Information
800bac,VT-IDS,AIRBUS,Airbus,A320 214,A320,1920,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
76cc47,9V-SBG,AIRBUS,Airbus,A319 133,A319,4215,,L2J,,SILKAIR,SLK,,Silkair,,,,,,,,,false,false,false,,
507c40,UK32017,AIRBUS,Airbus,Airbus A320 214,A320,4651,,L2J,,UZBEK,UZB,,Uzbekistan Airways,,,,,,,,,false,false,false,,
600801,4K-8888,AIRBUS,Airbus,ACJ319 115X,A319,2487,,L2J,,AZAL,AHY,,Government Of Azerbaijan,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0900bc,D2-TEH,BOEING,Boeing,777 3M2ER,B77W,40806,,L2J,,DTA,DTA,,Taag Angola Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
800b72,VT-ITA,AIRBUS,Airbus,A320 271NSL,A20N,6744,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
71bf10,HL7710,AIRBUS,Airbus,A330 323X,A333,490,,L2J,,KOREANAIR,KAL,,Korean Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8681aa,JA73NC,BOEING,Boeing,737NG 8FZ/W,B738,31743,,L2J,,SKYMARK,SKY,,Skymark Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa3410,N757AF,BOEING,Boeing,757 2J4/W,B752,25155,,L2J,,,,,Donald Trump,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
344158,EC-LOP,AIRBUS,Airbus,A320 214,A320,4937,,L2J,,VUELING,VLG,,Vueling Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
c038aa,C-FVLX,,The Boeing Company,787-9 (Boeing),,38356,,,Air Canada,AIR CANADA,ACA,AC,Air Canada,,2018-02-16,,,,,,,false,false,false,,Heavy (> 300000 lbs)
ab7270,N837AW,AIRBUS,Airbus,A319-132,A319,2595,,L2J,American Airlines,AMERICAN,AAL,AA,Awas 2595 Trust,,,2022-01-31,,2005-01-01,,,IAE V2500SERIES,false,false,false,,Large (75000 to 300000 lbs)
a479f5,N388KT,CESSNA,Cessna,525A,C25A,525A0172,,L2J,,,,,Turner Air Llc,,,2023-05-31,,2003-01-01,,,WILLIAMS FJ 44 SERIES,false,false,false,,Light (< 15500 lbs)
7c7526,VH-XFC,AIRBUS,Airbus,A330 243,A332,1293,,L2J,,VIRGIN,VOZ,,Virgin Australia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780ce7,B-3295,HARBIN,Embraer,Legacy 650,E35L,14501203,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines Executive Air,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
a74c1b,N57AL,,Dassault,Falcon 2000EX EASy,F2EX,055,,,,,,,Concord Air Inc,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
89648c,A6-FGG,BOEING,Boeing,737NG 800/W,B738,60960,,L2J,,,FDB,,Flydubai,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
4ca2c3,EI-DLF,BOEING,The Boeing Company,BOEING 737-8AS,B738,33588,,L2J,,RYANAIR,RYR,,Ryanair Designated Activity Company,,2006-02-13,,,2006-01-01,,,2x CFM CFM56-7B26,false,false,false,,No ADS-B Emitter Category Information
aaced0,N796FD,BOEING,Boeing,757-222,B752,26710,,L2J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2022-10-31,,1993-01-01,,,P & W PW2040,false,false,false,,High Vortex Large (aircraft such as B-757)
780762,B-5585,BOEING,Boeing,737NG 89L/W,B738,40029,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a55447,N442YX,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000446,,L2J,American Airlines,AMERICAN,AAL,AA,Republic Airways Inc,,,2024-01-31,,2015-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
a3db99,N348FX,EMBRAER,Embraer S A,EMB-505,E55P,50500097,,L2J,,,,,Flexjet Llc,,,2023-07-31,,2012-01-01,,,P&W CANADA PW535E,false,false,false,,No ADS-B Emitter Category Information
acc8f0,N9227L,,American Aviation,AA-1A,,AA1A-0127,,,,,,,Gideon Tom P,,,2021-11-30,,1971-01-01,,,LYCOMING 0-235 SERIES,false,false,false,,Light (< 15500 lbs)
4bd155,TC-TJU,BOEING,Boeing,737NG 8HX/W,B738,29681,,L2J,,CORENDON,CAI,,Corendon Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
862d2e,JA654J,BOEING,Boeing,767 346ER,B763,40366,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,false,false,false,,
a4c8a3,N407WN,BOEING,Boeing,737-7H4,B737,29817,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2024-02-29,,2001-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,
a446d4,N375ET,ECLIPSE,Eclipse Aviation Corp,EA500,EA50,000216,,L2J,,,,,Industrial Roofing Services Inc,,,2023-02-28,,2008-01-01,,,P&W CANADA PW610F-A,false,false,false,,Light (< 15500 lbs)
